number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,satisfaction_level,last_evaluation,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_low,salary_medium
4,239,5,0,1,0,0.82,0.87,0,0,0,0,0,0,1,0,0,1,0
2,135,3,0,1,0,0.4,0.49,0,0,0,0,0,0,1,0,0,1,0
2,128,3,0,1,0,0.41,0.46,0,1,0,0,0,0,0,0,0,1,0
2,132,3,0,1,0,0.38,0.5,0,1,0,0,0,0,0,0,0,1,0
6,294,4,0,1,0,0.09,0.62,0,1,0,0,0,0,0,0,0,1,0
2,134,3,0,1,0,0.45,0.57,0,0,1,0,0,0,0,0,0,1,0
2,145,3,0,1,0,0.4,0.51,0,0,1,0,0,0,0,0,0,1,0
2,140,3,0,1,0,0.6128299492385787,0.7161247662302965,0,0,1,0,0,0,0,0,0,1,0
4,246,6,0,1,0,0.84,0.87,0,0,1,0,0,0,0,0,0,1,0
6,255,4,0,1,0,0.1,0.94,0,0,0,0,0,0,0,0,1,1,0
2,137,3,0,1,0,0.38,0.46,0,0,0,0,0,0,0,0,1,1,0
2,126,3,0,1,0,0.45,0.5,0,0,0,0,0,0,0,0,1,1,0
6,306,4,0,1,0,0.11,0.89,0,0,0,0,0,0,0,0,1,1,0
2,152,3,0,1,0,0.41,0.54,0,0,0,0,0,0,0,0,1,1,0
5,269,5,0,1,0,0.87,0.88,0,0,0,0,0,0,0,0,1,1,0
2,158,3,0,1,0,0.45,0.48,0,0,0,0,0,0,0,0,1,1,0
2,127,3,0,1,0,0.4,0.46,0,0,0,0,0,0,0,0,1,1,0
7,281,4,0,1,0,0.1,0.8,0,0,0,0,0,0,0,0,1,1,0
6,276,4,0,1,0,0.09,0.89,0,0,0,0,0,0,0,0,1,1,0
3,182,4,0,1,0,0.84,0.74,0,0,0,0,0,0,0,0,1,1,0
2,147,3,0,1,0,0.4,0.55,0,0,0,0,0,0,0,1,0,1,0
3,273,6,0,1,0,0.57,0.7,0,0,0,0,0,0,0,1,0,1,0
2,148,3,0,1,0,0.4,0.54,0,0,0,0,0,0,0,1,0,1,0
2,147,3,0,1,0,0.43,0.47,0,0,0,0,0,0,0,1,0,1,0
6,152,2,0,1,0,0.13,0.78,0,0,0,0,0,0,0,1,0,1,0
2,135,3,0,1,0,0.44,0.55,0,0,0,0,0,0,0,1,0,1,0
2,134,3,0,1,0,0.38,0.55,0,0,0,0,0,0,0,1,0,1,0
2,132,3,0,1,0,0.6128299492385787,0.7161247662302965,0,0,0,0,0,0,0,1,0,1,0
7,307,4,0,1,0,0.1,0.92,0,0,0,0,0,0,0,1,0,1,0
2,140,3,0,1,0,0.37,0.46,0,0,0,0,0,0,0,1,0,1,0
7,255,4,0,1,0,0.11,0.94,0,0,0,0,0,0,0,1,0,1,0
6,309,4,0,1,0,0.1,0.81,0,0,0,0,0,0,0,0,1,1,0
2,128,3,0,1,0,0.38,0.54,0,0,0,0,0,0,0,0,1,1,0
4,225,5,0,1,0,0.85,1.0,0,0,0,0,0,0,0,0,1,1,0
5,226,5,0,1,0,0.85,0.91,0,0,0,1,0,0,0,0,0,0,1
7,308,4,0,1,0,0.11,0.93,0,0,0,0,0,0,0,0,0,0,1
6,244,5,0,1,0,0.1,0.95,0,0,0,0,0,0,0,0,0,0,1
2,132,3,0,1,0,0.36,0.56,0,0,0,0,0,0,0,0,0,0,1
6,286,4,0,1,0,0.11,0.94,0,0,0,0,0,0,0,0,0,0,1
6,161,4,0,1,0,0.81,0.7,0,0,0,0,0,0,0,0,0,0,1
2,153,3,0,1,0,0.43,0.54,0,0,0,0,0,1,0,0,0,0,1
4,264,6,0,1,0,0.9,0.98,0,0,0,0,0,1,0,0,0,0,1
5,223,5,1,1,0,0.76,0.86,0,0,0,0,0,1,0,0,0,0,1
2,135,3,0,1,0,0.43,0.5,0,0,0,0,0,1,0,0,0,0,1
2,277,3,0,1,0,0.74,0.99,0,0,0,0,0,0,0,0,0,0,1
5,275,4,0,1,0,0.09,0.77,0,0,0,0,0,1,0,0,0,0,1
2,149,3,0,1,0,0.6128299492385787,0.7161247662302965,0,0,0,0,0,1,0,0,0,0,0
7,295,4,0,1,0,0.09,0.87,0,0,0,0,0,1,0,0,0,1,0
6,277,4,0,1,0,0.11,0.97,0,0,0,0,0,1,0,0,0,0,1
7,306,4,0,1,0,0.11,0.79,0,0,0,0,0,1,0,0,0,0,1
6,295,4,0,1,0,0.1,0.83,0,0,0,0,0,1,0,0,0,0,1
2,137,3,0,1,0,0.4,0.54,0,0,0,0,1,0,0,0,0,0,1
2,157,3,0,1,0,0.43,0.56,0,0,0,0,0,0,1,0,0,1,0
2,142,3,0,1,0,0.39,0.56,0,1,0,0,0,0,0,0,0,1,0
2,140,3,0,1,0,0.45,0.54,0,0,0,0,0,0,0,1,0,1,0
2,151,3,0,1,0,0.38,0.49,0,0,0,0,0,0,0,0,1,1,0
4,139,3,0,1,1,0.79,0.59,0,0,0,1,0,0,0,0,0,1,0
4,249,6,0,1,0,0.84,0.85,0,0,0,0,1,0,0,0,0,1,0
6,291,4,0,1,0,0.11,0.77,0,0,0,0,1,0,0,0,0,1,0
6,305,4,0,1,0,0.11,0.87,0,0,0,0,1,0,0,0,0,1,0
5,232,3,0,1,0,0.17,0.84,0,0,0,0,0,0,1,0,0,1,0
2,132,3,0,1,0,0.44,0.45,0,0,0,0,0,0,1,0,0,1,0
2,130,3,0,1,0,0.37,0.57,0,0,0,0,0,0,1,0,0,1,0
6,291,4,0,1,0,0.1,0.79,0,0,0,0,0,0,1,0,0,1,0
2,130,3,0,1,0,0.4,0.5,0,0,0,0,0,0,1,0,0,1,0
5,246,5,0,1,0,0.89,1.0,0,0,0,0,0,0,1,0,0,1,0
2,143,3,0,1,0,0.6128299492385787,0.7161247662302965,0,0,0,0,0,0,1,0,0,1,0
2,129,3,0,1,0,0.46,0.55,0,0,0,0,0,0,1,0,0,1,0
6,255,4,0,1,0,0.09,0.83,0,0,0,0,0,0,1,0,0,1,0
2,155,3,0,1,0,0.37,0.51,0,0,0,0,0,0,1,0,0,1,0
6,265,4,0,1,0,0.1,0.77,0,0,0,0,0,0,1,0,0,1,0
6,279,4,0,1,0,0.1,0.84,0,0,0,0,0,0,1,0,0,1,0
6,284,4,0,1,0,0.11,0.97,0,0,0,0,0,0,1,0,0,1,0
5,221,6,0,1,0,0.9,1.0,0,0,0,0,0,0,1,0,0,0,1
2,154,3,0,1,0,0.38,0.52,0,0,0,0,0,0,1,0,0,0,1
2,147,3,0,1,0,0.36,0.52,0,0,0,0,0,0,1,0,0,0,1
2,150,3,0,1,0,0.42,0.46,0,0,0,0,0,0,1,0,0,0,1
7,267,4,0,1,0,0.09,0.94,0,0,0,0,0,0,1,0,0,0,1
2,158,3,0,1,0,0.43,0.52,0,0,0,0,0,0,1,0,0,0,1
7,224,5,0,1,0,0.24,0.46,0,1,0,0,0,0,0,0,0,0,1
4,257,5,0,1,0,0.91,1.0,0,1,0,0,0,0,0,0,0,0,1
2,148,3,0,1,0,0.6128299492385787,0.7161247662302965,0,1,0,0,0,0,0,0,0,0,1
3,177,4,0,1,0,0.71,0.87,0,0,1,0,0,0,0,0,0,0,1
2,155,3,0,1,0,0.4,0.49,0,0,1,0,0,0,0,0,0,0,1
2,144,3,0,1,0,0.43,0.47,0,0,1,0,0,0,0,0,0,0,1
6,289,4,0,1,0,0.09,0.85,0,0,1,0,0,0,0,0,0,0,0
2,160,3,0,1,0,0.43,0.52,0,0,0,0,0,0,0,0,1,1,0
4,258,5,0,1,0,0.9,0.96,0,0,0,0,0,0,0,0,1,0,1
5,234,5,0,1,0,0.84,1.0,0,0,0,0,0,0,0,0,1,0,1
2,137,3,0,1,0,0.37,0.48,0,0,0,0,0,0,0,0,1,0,1
5,263,2,0,1,0,0.86,0.68,0,0,0,0,0,0,0,0,1,0,1
6,251,4,0,1,0,0.11,0.84,0,0,0,0,0,0,0,0,1,1,0
2,133,3,0,1,0,0.37,0.57,0,0,0,0,0,0,0,0,1,1,0
2,132,3,0,1,0,0.4,0.46,0,0,0,0,0,0,0,0,1,1,0
4,158,4,1,1,0,0.6128299492385787,0.7161247662302965,0,0,0,0,0,0,0,0,1,1,0
2,135,3,0,1,0,0.4,0.46,0,0,0,0,0,0,0,0,1,1,0
4,216,6,0,1,0,0.75,1.0,0,0,0,0,0,0,0,0,1,1,0
6,300,5,1,1,0,0.11,0.84,0,0,0,0,0,0,0,1,0,1,0
2,138,3,0,1,0,0.46,0.49,0,0,0,0,0,0,0,1,0,1,0
6,260,4,0,1,0,0.11,0.92,0,0,0,0,0,0,0,1,0,1,0
2,132,3,0,1,0,0.38,0.49,0,0,0,0,0,0,0,1,0,1,0
3,183,5,0,1,0,0.7,0.89,0,0,0,0,0,0,0,1,0,1,0
6,250,4,0,1,0,0.09,0.82,0,0,0,0,0,0,0,1,0,1,0
2,151,3,0,1,0,0.37,0.45,0,0,0,0,0,0,0,1,0,1,0
6,292,4,0,1,0,0.1,0.83,0,0,0,0,0,0,0,1,0,1,0
2,140,3,0,1,0,0.38,0.57,0,0,0,0,0,0,0,1,0,1,0
5,221,5,0,1,0,0.9,1.0,0,0,0,0,0,0,0,1,0,1,0
2,138,3,0,1,0,0.44,0.51,0,0,0,0,0,0,0,1,0,1,0
2,132,3,0,1,0,0.36,0.5,0,0,0,0,0,0,0,0,1,1,0
7,133,5,0,1,0,0.31,0.84,0,0,0,0,0,0,0,0,1,1,0
6,283,4,1,1,0,0.1,0.84,0,0,0,0,0,0,0,0,1,1,0
2,129,3,0,1,0,0.6128299492385787,0.7161247662302965,0,0,0,1,0,0,0,0,0,1,0
4,249,5,0,1,0,0.74,1.0,0,0,0,0,0,0,0,0,0,1,0
5,257,5,0,1,0,0.73,0.87,0,0,0,0,0,0,0,0,0,1,0
6,245,4,0,1,0,0.09,0.96,0,0,0,0,0,0,0,0,0,1,0
2,155,3,0,1,0,0.45,0.53,0,0,0,0,0,0,0,0,0,1,0
6,256,4,0,1,0,0.11,0.8,0,0,0,0,0,0,0,0,0,1,0
2,152,3,0,1,0,0.37,0.47,0,0,0,0,0,1,0,0,0,1,0
4,267,5,0,1,0,0.84,0.99,0,0,0,0,0,1,0,0,0,1,0
2,151,3,0,1,0,0.41,0.46,0,0,0,0,0,1,0,0,0,1,0
4,239,5,0,1,0,0.76,0.92,0,0,0,0,0,1,0,0,0,1,0
6,306,4,0,1,0,0.11,0.87,0,0,0,0,0,0,0,0,0,1,0
4,263,5,1,1,0,0.84,0.88,0,0,0,0,1,0,0,0,0,1,0
2,147,3,0,1,0,0.39,0.5,0,0,0,0,1,0,0,0,0,1,0
6,278,4,0,1,0,0.11,0.91,0,0,0,0,1,0,0,0,0,1,0
2,154,3,0,1,0,0.45,0.56,0,0,0,0,1,0,0,0,0,1,0
2,143,3,0,1,0,0.37,0.52,0,0,0,0,1,0,0,0,0,1,0
2,155,3,0,1,0,0.4,0.52,0,0,0,0,1,0,0,0,0,1,0
2,160,3,0,1,0,0.39,0.48,0,0,0,0,0,0,1,0,0,1,0
6,304,4,0,1,0,0.11,0.8,0,1,0,0,0,0,0,0,0,1,0
5,240,5,0,1,0,0.83,1.0,0,0,0,0,0,0,0,1,0,1,0
6,305,4,0,1,0,0.11,0.92,0,0,0,0,0,0,0,0,1,1,0
2,136,3,0,1,0,0.39,0.5,0,0,0,1,0,0,0,0,0,1,0
2,132,3,0,1,0,0.45,0.45,0,0,0,0,1,0,0,0,0,1,0
7,301,4,0,1,0,0.1,0.95,0,0,0,0,1,0,0,0,0,1,0
5,243,6,0,1,0,0.9,0.98,0,0,0,0,1,0,0,0,0,1,0
2,147,3,0,1,0,0.45,0.51,0,0,0,0,0,0,1,0,0,1,0
5,239,5,0,1,0,0.79,0.89,0,0,0,0,0,0,1,0,0,1,0
5,260,5,0,1,0,0.9,0.99,0,0,0,0,0,0,1,0,0,1,0
7,296,4,0,1,0,0.11,0.84,0,0,0,0,0,0,1,0,0,1,0
2,129,3,0,1,0,0.43,0.55,0,0,0,0,0,0,1,0,0,1,0
5,132,5,0,1,0,0.31,0.54,0,0,0,0,0,0,1,0,0,1,0
2,135,5,0,1,0,0.32,0.5,0,0,0,0,0,0,1,0,0,1,0
2,158,3,0,1,0,0.45,0.57,0,0,0,0,0,0,1,0,0,1,0
4,259,5,0,1,0,0.81,0.99,0,0,0,0,0,0,1,0,0,1,0
2,160,3,0,1,1,0.41,0.46,0,0,0,0,0,0,1,0,0,1,0
7,278,4,0,1,0,0.11,0.78,0,0,0,0,0,0,1,0,0,1,0
6,284,4,0,1,0,0.1,0.88,0,0,0,0,0,0,1,0,0,1,0
2,274,4,0,1,0,0.7,0.53,0,0,0,0,0,0,1,0,0,1,0
4,164,2,0,1,0,0.6128299492385787,0.7161247662302965,0,0,0,0,0,0,1,0,0,1,0
2,148,3,0,1,0,0.41,0.48,0,0,0,0,0,0,1,0,0,1,0
2,140,3,0,1,0,0.38,0.5,0,0,0,0,0,0,1,0,0,0,1
2,127,3,0,1,0,0.37,0.51,0,0,0,0,0,0,1,0,0,0,1
6,308,5,0,1,0,0.11,0.85,0,0,0,0,0,0,1,0,0,0,1
2,146,3,0,1,0,0.4,0.47,0,0,0,0,0,0,1,0,0,0,1
6,261,4,0,1,0,0.1,0.84,0,1,0,0,0,0,0,0,0,0,1
5,257,5,0,1,0,0.89,0.99,0,1,0,0,0,0,0,0,0,0,1
6,285,4,0,1,0,0.11,0.8,0,1,0,0,0,0,0,0,0,0,1
2,141,3,0,1,0,0.36,0.55,0,0,1,0,0,0,0,0,0,0,1
2,127,3,0,1,0,0.4,0.46,0,0,1,0,0,0,0,0,0,0,1
6,297,4,0,1,0,0.09,0.85,0,0,1,0,0,0,0,0,0,0,1
2,143,3,0,1,0,0.4,0.46,0,0,1,0,0,0,0,0,0,0,1
2,152,3,0,1,0,0.37,0.55,0,0,0,0,0,0,0,0,1,0,1
2,156,3,0,1,0,0.44,0.51,0,0,0,0,0,0,0,0,1,0,0
7,283,5,0,1,0,0.09,0.8,0,0,0,0,0,0,0,0,1,1,0
4,226,6,1,1,0,0.92,0.7161247662302965,0,0,0,0,0,0,0,0,1,0,1
4,232,5,0,1,0,0.74,0.91,0,0,0,0,0,0,0,0,1,0,1
6,249,4,0,1,0,0.09,0.82,0,0,0,0,0,0,0,0,1,0,1
4,275,5,0,1,0,0.89,0.95,0,0,0,0,0,0,0,0,1,0,1
6,304,4,0,1,0,0.09,0.8,0,0,0,0,0,0,0,0,1,1,0
7,278,3,0,1,0,0.27,0.54,0,0,0,0,0,0,0,0,1,1,0
6,287,4,0,1,0,0.1,0.91,0,0,0,0,0,0,0,0,1,1,0
7,285,4,0,1,0,0.1,0.89,0,0,0,0,0,0,0,0,1,1,0
5,226,6,0,1,0,0.77,0.94,0,0,0,0,0,0,0,1,0,1,0
5,259,5,0,1,0,0.9,0.82,0,0,0,0,0,0,0,1,0,1,0
2,135,3,0,1,0,0.39,0.5,0,0,0,0,0,0,0,1,0,1,0
5,219,5,0,1,0,0.76,1.0,0,0,0,0,0,0,0,1,0,1,0
6,256,4,0,1,0,0.1,0.93,0,0,0,0,0,0,0,1,0,1,0
5,254,6,0,1,0,0.87,0.9,0,0,0,0,0,0,0,1,0,1,0
2,153,3,0,1,0,0.38,0.5,0,0,0,0,0,0,0,1,0,1,0
5,228,5,0,1,0,0.77,0.99,0,0,0,0,0,0,0,1,0,1,0
4,228,5,0,1,0,0.78,0.87,0,0,0,0,0,0,0,1,0,1,0
2,128,3,0,1,0,0.44,0.5,0,0,0,0,0,0,0,1,0,1,0
2,153,3,0,1,0,0.38,0.52,0,0,0,0,0,0,0,1,0,1,0
2,156,3,0,1,0,0.43,0.46,0,0,0,0,0,0,0,0,1,1,0
4,294,3,0,1,0,0.39,0.5,0,0,0,0,0,0,0,0,1,1,0
5,219,5,0,1,0,0.88,1.0,0,0,0,0,0,0,0,0,1,1,0
2,153,3,0,1,0,0.45,0.46,0,0,0,1,0,0,0,0,0,1,0
2,151,3,0,1,0,0.4,0.53,0,0,0,0,0,0,0,0,0,1,0
2,155,3,0,1,0,0.36,0.51,0,0,0,0,0,0,0,0,0,1,0
2,158,3,0,1,0,0.36,0.48,0,0,0,0,0,0,0,0,0,1,0
5,245,5,0,1,0,0.9,0.98,0,0,0,0,0,0,0,0,0,1,0
2,131,3,0,1,0,0.43,0.53,0,0,0,0,0,0,0,0,0,1,0
5,225,5,0,1,0,0.89,0.87,0,0,0,0,0,1,0,0,0,1,0
6,286,4,0,1,0,0.1,0.84,0,0,0,0,0,1,0,0,0,1,0
2,135,3,0,1,0,0.37,0.5,0,0,0,0,0,1,0,0,0,1,0
2,153,3,0,1,0,0.37,0.51,0,0,0,0,0,1,0,0,0,1,0
5,252,5,0,1,0,0.87,0.9,0,0,0,0,0,0,0,0,0,1,0
2,149,3,0,1,0,0.4,0.56,0,1,0,0,0,0,0,0,0,1,0
4,258,5,0,1,0,0.9,0.97,0,1,0,0,0,0,0,0,0,1,0
2,158,3,0,1,0,0.37,0.46,0,0,1,0,0,0,0,0,0,1,0
2,149,3,0,1,0,0.44,0.54,0,0,1,0,0,0,0,0,0,1,0
5,236,5,0,1,0,0.85,0.95,0,0,1,0,0,0,0,0,0,1,0
5,239,6,0,1,0,0.78,0.98,0,0,0,0,1,0,0,0,0,1,0
2,159,3,0,1,0,0.42,0.47,0,0,0,0,1,0,0,0,0,1,0
5,255,6,0,1,0,0.92,0.99,0,0,0,0,0,0,1,0,0,1,0
6,244,4,0,1,0,0.11,0.83,0,1,0,0,0,0,0,0,0,1,0
2,134,3,0,1,0,0.42,0.56,0,0,0,0,0,0,0,1,0,1,0
4,270,4,0,1,0,0.48,0.57,0,0,0,0,0,0,0,0,1,1,0
4,255,5,0,1,0,0.83,0.85,0,0,0,1,0,0,0,0,0,1,0
2,151,3,0,1,0,0.4,0.53,0,0,0,0,1,0,0,0,0,1,0
2,135,3,0,1,0,0.43,0.45,0,0,0,0,1,0,0,0,0,1,0
2,146,3,0,1,0,0.43,0.53,0,0,0,0,1,0,0,0,0,1,0
7,254,4,0,1,0,0.1,0.97,0,0,0,0,0,0,1,0,0,1,0
7,289,4,0,1,0,0.1,0.87,0,0,0,0,0,0,1,0,0,1,0
2,156,3,0,1,0,0.37,0.46,0,0,0,0,0,0,1,0,0,1,0
2,156,3,0,1,0,0.38,0.53,0,0,0,0,0,0,1,0,0,1,0
2,128,3,0,1,0,0.4,0.5,0,0,0,0,0,0,1,0,0,1,0
5,275,5,0,1,0,0.89,0.86,0,0,0,0,0,0,1,0,0,1,0
2,155,3,0,1,0,0.45,0.46,0,0,0,0,0,0,1,0,0,1,0
2,159,3,0,1,0,0.37,0.48,0,0,0,0,0,0,1,0,0,1,0
2,148,3,0,1,0,0.46,0.49,0,0,0,0,0,0,1,0,0,1,0
4,228,5,0,1,0,0.87,0.91,0,0,0,0,0,0,1,0,0,1,0
6,298,4,0,1,0,0.11,0.84,0,0,0,0,0,0,1,0,0,1,0
5,261,5,0,1,0,0.79,0.87,0,0,0,0,0,0,1,0,0,1,0
5,254,6,0,1,0,0.79,0.92,0,0,0,0,0,0,1,0,0,1,0
7,192,3,0,1,0,0.19,0.59,0,0,0,0,0,0,1,0,0,1,0
4,248,5,0,1,0,0.87,0.98,0,0,0,0,0,0,1,0,0,1,0
2,258,5,0,1,0,0.6,0.92,0,0,0,0,0,0,1,0,0,1,0
2,156,3,0,1,0,0.44,0.45,0,0,0,0,0,0,1,0,0,0,1
6,266,4,1,1,0,0.11,0.81,0,0,0,0,0,0,1,0,0,0,1
2,156,3,0,1,0,0.42,0.54,0,0,0,0,0,0,1,0,0,0,1
5,232,5,1,1,0,0.88,0.88,0,1,0,0,0,0,0,0,0,0,1
6,287,4,0,1,0,0.11,0.84,0,1,0,0,0,0,0,0,0,0,1
2,154,3,0,1,0,0.46,0.46,0,1,0,0,0,0,0,0,0,0,1
5,263,5,0,1,0,0.82,0.97,0,0,1,0,0,0,0,0,0,0,1
2,131,3,0,1,0,0.44,0.56,0,0,1,0,0,0,0,0,0,0,1
6,260,4,0,1,0,0.11,0.78,0,0,1,0,0,0,0,0,0,0,1
2,139,3,0,1,0,0.42,0.5,0,0,1,0,0,0,0,0,0,0,1
4,251,5,0,1,0,0.84,0.93,0,0,0,0,0,0,0,0,1,0,1
6,286,4,0,1,0,0.11,0.95,0,0,0,0,0,0,0,0,1,0,1
2,129,3,0,1,0,0.45,0.53,0,0,0,0,0,0,0,0,1,0,0
2,156,3,0,1,0,0.38,0.56,0,0,0,0,0,0,0,0,1,1,0
6,139,6,0,1,0,0.38,0.86,0,0,0,0,0,0,0,0,1,0,1
2,127,3,0,1,0,0.44,0.51,0,0,0,0,0,0,0,0,1,0,1
6,251,4,0,1,0,0.11,0.84,0,0,0,0,0,0,0,0,1,0,1
5,270,5,0,1,0,0.81,0.93,0,0,0,0,0,0,0,0,1,0,1
6,296,4,0,1,0,0.09,0.96,0,0,0,0,0,0,0,0,1,1,0
6,254,4,0,1,0,0.11,0.9,0,0,0,0,0,0,0,0,1,1,0
5,238,6,0,1,0,0.81,0.95,0,0,0,0,0,0,0,0,1,1,0
6,267,4,1,1,0,0.1,0.97,0,0,0,0,0,0,0,1,0,1,0
5,229,6,0,1,0,0.74,0.89,0,0,0,0,0,0,0,1,0,1,0
6,254,4,0,1,0,0.09,0.78,0,0,0,0,0,0,0,1,0,1,0
4,233,4,1,1,0,0.82,0.81,0,0,0,0,0,0,0,1,0,1,0
6,268,4,0,1,0,0.1,0.98,0,0,0,0,0,0,0,1,0,1,0
3,301,3,0,1,0,0.27,0.56,0,0,0,0,0,0,0,1,0,1,0
5,267,6,0,1,0,0.83,0.92,0,0,0,0,0,0,0,1,0,1,0
6,289,4,1,1,0,0.1,0.93,0,0,0,0,0,0,0,1,0,1,0
2,144,3,0,1,0,0.38,0.47,0,0,0,0,0,0,0,1,0,1,0
2,148,3,0,1,0,0.4,0.56,0,0,0,0,0,0,0,1,0,1,0
6,306,4,0,1,0,0.11,0.83,0,0,0,0,0,0,0,1,0,1,0
6,292,4,0,1,1,0.11,0.79,0,0,0,0,0,0,0,0,1,1,0
5,232,5,0,1,0,0.82,0.91,0,0,0,0,0,0,0,0,1,1,0
2,137,3,0,1,0,0.36,0.48,0,0,0,0,0,0,0,0,1,1,0
2,128,3,0,1,0,0.4,0.46,0,0,0,1,0,0,0,0,0,1,0
5,231,5,0,1,0,0.87,0.84,0,0,0,0,0,0,0,0,0,1,0
2,146,3,0,1,0,0.41,0.49,0,0,0,0,0,0,0,0,0,1,0
6,308,4,1,1,0,0.11,0.91,0,0,0,0,0,0,0,0,0,1,0
6,253,4,0,1,0,0.1,0.93,0,0,0,0,0,0,0,0,0,0,1
2,146,3,0,1,0,0.38,0.51,0,0,0,0,0,0,0,0,0,0,1
2,156,3,0,1,0,0.39,0.55,0,0,0,0,0,1,0,0,0,0,1
2,147,3,0,1,0,0.4,0.52,0,0,0,0,0,1,0,0,0,0,1
2,136,3,0,1,0,0.45,0.48,0,0,0,0,0,1,0,0,0,0,1
5,249,5,0,1,0,0.74,0.84,0,0,0,0,0,1,0,0,0,0,1
2,151,3,0,1,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,1
3,278,4,0,1,0,0.12,1.0,1,0,0,0,0,0,0,0,0,0,1
7,250,5,0,1,0,0.1,0.77,1,0,0,0,0,0,0,0,0,0,1
2,127,3,0,1,0,0.37,0.55,1,0,0,0,0,0,0,0,0,0,1
5,255,5,0,1,0,0.89,0.87,1,0,0,0,0,0,0,0,0,0,1
2,135,3,0,1,0,0.45,0.47,1,0,0,0,0,0,0,0,0,0,1
2,149,3,0,1,0,0.37,0.46,0,0,0,0,1,0,0,0,0,0,0
5,287,4,0,1,0,0.11,0.81,0,0,0,0,0,0,1,0,0,1,0
2,145,3,0,1,0,0.41,0.48,0,1,0,0,0,0,0,0,0,0,1
6,285,4,0,1,0,0.1,0.94,0,0,0,0,0,0,0,1,0,0,1
7,305,4,0,1,0,0.1,0.93,0,0,0,0,0,0,0,0,1,0,1
7,300,4,0,1,0,0.11,0.95,0,0,0,1,0,0,0,0,0,0,1
2,139,3,0,1,0,0.4,0.54,0,0,0,0,1,0,0,0,0,1,0
2,130,3,0,1,0,0.41,0.49,0,0,0,0,1,0,0,0,0,1,0
6,268,4,0,1,0,0.1,0.81,0,0,0,0,1,0,0,0,0,1,0
4,245,6,0,1,0,0.73,0.86,0,0,0,0,0,0,1,0,0,1,0
2,135,3,0,1,0,0.43,0.47,0,0,0,0,0,0,1,0,0,1,0
2,153,3,0,1,0,0.37,0.46,0,0,0,0,0,0,1,0,0,1,0
6,276,4,0,1,0,0.11,0.94,0,0,0,0,0,0,1,0,0,1,0
2,130,3,0,1,0,0.4,0.46,0,0,0,0,0,0,1,0,0,1,0
2,153,3,1,1,0,0.41,0.54,0,0,0,0,0,0,1,0,0,1,0
5,244,5,0,1,0,0.82,0.84,0,0,0,0,0,0,1,0,0,1,0
2,253,3,0,1,0,0.61,0.47,0,0,0,0,0,0,1,0,0,1,0
7,287,4,0,1,0,0.11,0.91,0,0,0,0,0,0,1,0,0,1,0
2,131,3,0,1,0,0.37,0.45,0,0,0,0,0,0,1,0,0,1,0
